idRelatorio,dataHora,latitude,longitude,tipoFonte,tipoObservacao,nivelGravidade,qtdAtingidos,danoInfraestrutura,acessibilidade,notasAdicionais,classificacaoRisco
73,2025-05-23 05:21:51,-5.127457,-69.169597,Equipe de Campo,Incêndio,Média,81,Leve,Difícil,Incêndio em vegetação próximo a área urbana.,Suporte Necessário
74,2025-05-11 09:22:40,-14.254851,-56.069831,Drone,Alagamento,Baixa,93,Leve,Bloqueado,Água acumulada impede o tráfego de veículos.,Suporte Necessário
75,2025-06-03 01:59:01,-1.439505,-59.098686,Equipe de Campo,Alagamento,Alta,96,Nenhum,Bloqueado,Moradores relatam alagamento em vias principais.,Atenção Urgente
76,2025-05-24 09:10:38,-19.455694,-40.060073,Equipe de Campo,Alagamento,Média,0,Nenhum,Fácil,Região com nível de água acima da calçada.,Monitorar
77,2025-05-30 11:53:33,-28.030839,-49.717667,Equipe de Campo,Incêndio,Média,19,Severo,Fácil,"Fogo controlado por brigada local, mas danos registrados.",Suporte Necessário
78,2025-05-24 10:29:02,-7.72317,-45.914079,Equipe de Campo,Deslizamento,Média,195,Nenhum,Bloqueado,Deslizamento atingiu parte de uma residência.,Atenção Urgente
79,2025-06-01 19:17:34,-2.128235,-45.064511,Drone,Deslizamento,Média,158,Severo,Difícil,Área interditada após deslizamento de terra.,Atenção Urgente
80,2025-05-31 14:31:41,-12.91163,-55.26469,Equipe de Campo,Deslizamento,Alta,77,Moderado,Fácil,"Encosta cedeu parcialmente, risco de novos deslizamentos.",Suporte Necessário
81,2025-05-26 22:29:13,-4.828967,-47.695147,Equipe de Campo,Incêndio,Alta,98,Leve,Bloqueado,"Fogo controlado por brigada local, mas danos registrados.",Atenção Urgente
82,2025-06-05 13:40:28,-3.223192,-42.228849,App Usuário,Pessoas Isoladas,Alta,188,Nenhum,Difícil,Comunidade sem acesso após queda de ponte.,Atenção Urgente
83,2025-05-22 20:45:11,-5.848824,-69.577037,Equipe de Campo,Estrutura Danificada,Crítica,33,Nenhum,Fácil,Prédio com estrutura comprometida após tremor.,Suporte Necessário
84,2025-05-23 20:27:30,-13.873633,-56.044372,App Usuário,Incêndio,Baixa,178,Nenhum,Fácil,"Fogo controlado por brigada local, mas danos registrados.",Monitorar
85,2025-05-26 04:58:14,-14.055173,-53.066774,Equipe de Campo,Estrutura Danificada,Alta,109,Leve,Fácil,Queda de poste afeta fornecimento elétrico.,Suporte Necessário
86,2025-05-26 18:15:58,-22.725735,-48.805593,Drone,Estrutura Danificada,Baixa,145,Moderado,Difícil,Prédio com estrutura comprometida após tremor.,Suporte Necessário
87,2025-05-20 01:55:31,-9.30684,-41.838593,App Usuário,Incêndio,Alta,37,Severo,Difícil,Moradores evacuados devido à fumaça intensa.,Atenção Urgente
88,2025-05-21 13:16:14,2.26919,-61.34737,App Usuário,Alagamento,Baixa,54,Severo,Fácil,Água acumulada impede o tráfego de veículos.,Suporte Necessário
89,2025-05-27 23:59:29,-21.71225,-41.058678,Drone,Estrutura Danificada,Baixa,72,Moderado,Difícil,Ponte apresenta rachaduras na base.,Suporte Necessário
90,2025-06-06 14:58:17,-3.467111,-53.744255,Equipe de Campo,Deslizamento,Baixa,137,Severo,Difícil,Área interditada após deslizamento de terra.,Atenção Urgente
91,2025-05-10 16:42:47,-9.219135,-55.74637,Equipe de Campo,Estrutura Danificada,Alta,71,Leve,Difícil,Ponte apresenta rachaduras na base.,Suporte Necessário
92,2025-06-02 00:39:21,-0.546002,-55.612747,App Usuário,Alagamento,Baixa,51,Severo,Difícil,Moradores relatam alagamento em vias principais.,Suporte Necessário
93,2025-05-10 19:02:19,-0.852748,-57.734911,Drone,Pessoas Isoladas,Alta,83,Severo,Fácil,Comunidade sem acesso após queda de ponte.,Atenção Urgente
94,2025-06-02 00:57:46,-10.133077,-49.153778,App Usuário,Incêndio,Baixa,153,Severo,Bloqueado,Incêndio em vegetação próximo a área urbana.,Atenção Urgente
95,2025-05-24 05:11:38,-6.691782,-45.797127,Drone,Pessoas Isoladas,Média,165,Moderado,Difícil,Barreiras naturais impedem saída de moradores.,Atenção Urgente
96,2025-05-12 16:30:58,-1.766883,-56.906791,Equipe de Campo,Pessoas Isoladas,Alta,70,Leve,Difícil,Famílias ilhadas aguardam resgate.,Suporte Necessário
97,2025-05-14 01:42:02,-7.850781,-63.786562,Equipe de Campo,Deslizamento,Crítica,139,Nenhum,Fácil,Deslizamento atingiu parte de uma residência.,Atenção Urgente
98,2025-06-06 03:53:32,-5.623751,-35.316951,Drone,Alagamento,Média,174,Leve,Fácil,Água acumulada impede o tráfego de veículos.,Suporte Necessário
99,2025-05-28 16:15:33,-8.518321,-54.239159,App Usuário,Alagamento,Alta,71,Moderado,Difícil,Água acumulada impede o tráfego de veículos.,Atenção Urgente
100,2025-05-24 06:02:15,-3.532678,-51.497664,Equipe de Campo,Pessoas Isoladas,Média,90,Leve,Difícil,Barreiras naturais impedem saída de moradores.,Suporte Necessário
101,2025-05-19 11:12:00,0.738164,-65.77191,Equipe de Campo,Deslizamento,Média,171,Moderado,Difícil,Deslizamento atingiu parte de uma residência.,Atenção Urgente
102,2025-05-26 05:31:58,-16.717002,-41.12492,Drone,Estrutura Danificada,Crítica,165,Moderado,Difícil,Ponte apresenta rachaduras na base.,Risco Imediato
103,2025-06-05 02:55:25,-10.624862,-64.84607,Equipe de Campo,Pessoas Isoladas,Média,135,Severo,Difícil,Barreiras naturais impedem saída de moradores.,Atenção Urgente
104,2025-05-14 07:50:06,-7.225137,-36.961306,App Usuário,Incêndio,Baixa,82,Nenhum,Difícil,"Fogo controlado por brigada local, mas danos registrados.",Monitorar
105,2025-05-27 18:10:51,-16.515744,-53.834186,Equipe de Campo,Incêndio,Média,89,Nenhum,Fácil,Incêndio em vegetação próximo a área urbana.,Monitorar
106,2025-05-29 16:15:01,-2.375745,-50.653205,App Usuário,Pessoas Isoladas,Alta,93,Leve,Bloqueado,Comunidade sem acesso após queda de ponte.,Atenção Urgente
107,2025-05-30 09:56:25,-27.598924,-48.576358,Equipe de Campo,Alagamento,Média,143,Severo,Difícil,Região com nível de água acima da calçada.,Atenção Urgente
108,2025-06-01 12:45:30,-5.883342,-58.811317,Equipe de Campo,Pessoas Isoladas,Alta,67,Leve,Difícil,Famílias ilhadas aguardam resgate.,Suporte Necessário
109,2025-06-04 00:42:43,-3.894255,-58.623151,App Usuário,Estrutura Danificada,Média,126,Severo,Bloqueado,Ponte apresenta rachaduras na base.,Risco Imediato
110,2025-05-20 04:47:37,-19.583422,-53.007971,Drone,Alagamento,Baixa,54,Moderado,Bloqueado,Água acumulada impede o tráfego de veículos.,Suporte Necessário
111,2025-05-20 20:58:25,-15.19186,-44.120554,App Usuário,Incêndio,Média,115,Leve,Difícil,Moradores evacuados devido à fumaça intensa.,Suporte Necessário
112,2025-05-28 03:40:44,-0.167953,-65.076345,App Usuário,Alagamento,Baixa,107,Severo,Bloqueado,Região com nível de água acima da calçada.,Atenção Urgente
113,2025-05-30 00:27:03,-19.029154,-49.79158,Equipe de Campo,Incêndio,Média,49,Nenhum,Difícil,Moradores evacuados devido à fumaça intensa.,Monitorar
114,2025-05-29 09:57:25,-4.051566,-54.146749,Drone,Deslizamento,Alta,15,Nenhum,Fácil,Deslizamento atingiu parte de uma residência.,Monitorar
115,2025-05-17 23:37:12,-23.535379,-52.715837,Drone,Incêndio,Média,15,Leve,Difícil,Incêndio em vegetação próximo a área urbana.,Monitorar
116,2025-06-04 14:54:34,-2.857056,-64.650634,Equipe de Campo,Alagamento,Baixa,165,Moderado,Fácil,Região com nível de água acima da calçada.,Suporte Necessário
117,2025-05-30 21:40:01,-7.068039,-54.247561,Equipe de Campo,Estrutura Danificada,Crítica,61,Nenhum,Difícil,Queda de poste afeta fornecimento elétrico.,Atenção Urgente
118,2025-05-18 14:34:01,-12.865187,-54.469489,Drone,Alagamento,Crítica,65,Leve,Fácil,Moradores relatam alagamento em vias principais.,Suporte Necessário
119,2025-05-15 05:12:02,-0.568239,-64.235106,Drone,Deslizamento,Crítica,11,Severo,Difícil,"Encosta cedeu parcialmente, risco de novos deslizamentos.",Atenção Urgente
120,2025-05-26 10:41:30,-7.605597,-53.296363,Drone,Deslizamento,Média,145,Nenhum,Bloqueado,Deslizamento atingiu parte de uma residência.,Atenção Urgente
121,2025-05-30 01:02:35,-11.456351,-63.916486,App Usuário,Estrutura Danificada,Média,165,Nenhum,Difícil,Prédio com estrutura comprometida após tremor.,Suporte Necessário
122,2025-05-18 17:22:18,-10.252203,-41.635233,Equipe de Campo,Incêndio,Alta,73,Severo,Difícil,Moradores evacuados devido à fumaça intensa.,Atenção Urgente
123,2025-05-20 20:11:16,-5.941226,-56.763883,Drone,Pessoas Isoladas,Crítica,199,Leve,Fácil,Famílias ilhadas aguardam resgate.,Atenção Urgente
124,2025-05-12 18:20:03,-1.512294,-68.581823,App Usuário,Estrutura Danificada,Alta,30,Moderado,Difícil,Queda de poste afeta fornecimento elétrico.,Suporte Necessário
125,2025-05-15 16:07:06,-5.519485,-60.965656,Drone,Pessoas Isoladas,Média,49,Moderado,Fácil,Famílias ilhadas aguardam resgate.,Monitorar
126,2025-05-14 14:42:11,-6.269113,-38.516621,Drone,Incêndio,Baixa,194,Severo,Difícil,"Fogo controlado por brigada local, mas danos registrados.",Atenção Urgente
127,2025-05-18 21:49:46,-12.101498,-46.1611,App Usuário,Incêndio,Crítica,185,Leve,Difícil,Incêndio em vegetação próximo a área urbana.,Atenção Urgente
128,2025-05-24 20:43:23,-11.073874,-61.6201,App Usuário,Pessoas Isoladas,Média,7,Leve,Bloqueado,Famílias ilhadas aguardam resgate.,Suporte Necessário
129,2025-05-14 10:56:56,-1.386755,-59.503555,Drone,Deslizamento,Média,166,Nenhum,Fácil,Área interditada após deslizamento de terra.,Suporte Necessário
130,2025-05-18 10:05:06,-2.288093,-59.521693,Drone,Deslizamento,Média,10,Nenhum,Bloqueado,"Encosta cedeu parcialmente, risco de novos deslizamentos.",Suporte Necessário
131,2025-05-09 11:40:38,-22.343435,-45.994688,Equipe de Campo,Incêndio,Alta,119,Severo,Fácil,Incêndio em vegetação próximo a área urbana.,Atenção Urgente
132,2025-05-25 04:23:38,-3.907793,-59.382779,Drone,Pessoas Isoladas,Baixa,132,Severo,Bloqueado,Comunidade sem acesso após queda de ponte.,Atenção Urgente
133,2025-05-17 02:43:37,-22.323872,-52.689798,Equipe de Campo,Incêndio,Alta,104,Moderado,Fácil,Incêndio em vegetação próximo a área urbana.,Atenção Urgente
134,2025-05-20 13:14:58,-22.533105,-54.105244,Drone,Alagamento,Média,65,Moderado,Fácil,Água acumulada impede o tráfego de veículos.,Suporte Necessário
135,2025-06-01 22:51:47,-6.576188,-72.666366,App Usuário,Alagamento,Alta,42,Moderado,Difícil,Água acumulada impede o tráfego de veículos.,Suporte Necessário
136,2025-05-13 02:13:28,-6.54878,-48.150473,Drone,Alagamento,Baixa,121,Nenhum,Fácil,Água acumulada impede o tráfego de veículos.,Monitorar
137,2025-05-11 06:44:01,-8.86474,-63.106643,Drone,Estrutura Danificada,Baixa,73,Moderado,Fácil,Prédio com estrutura comprometida após tremor.,Monitorar
138,2025-05-29 02:37:34,-13.402586,-42.971754,App Usuário,Deslizamento,Alta,35,Nenhum,Fácil,Área interditada após deslizamento de terra.,Monitorar
139,2025-05-28 05:20:22,-17.844307,-45.605748,Equipe de Campo,Pessoas Isoladas,Média,13,Moderado,Fácil,Comunidade sem acesso após queda de ponte.,Monitorar
140,2025-05-22 01:43:21,-31.216941,-54.660957,Drone,Incêndio,Crítica,71,Nenhum,Fácil,Incêndio em vegetação próximo a área urbana.,Suporte Necessário
141,2025-05-08 07:03:24,-4.651011,-45.058839,Drone,Deslizamento,Média,196,Moderado,Fácil,"Encosta cedeu parcialmente, risco de novos deslizamentos.",Suporte Necessário
142,2025-05-20 20:15:37,-26.415819,-51.95774,App Usuário,Estrutura Danificada,Baixa,129,Leve,Bloqueado,Queda de poste afeta fornecimento elétrico.,Suporte Necessário
143,2025-06-05 21:08:18,-0.825923,-49.381006,App Usuário,Alagamento,Média,59,Leve,Bloqueado,Moradores relatam alagamento em vias principais.,Suporte Necessário
144,2025-05-14 11:07:25,-5.465156,-38.36142,Equipe de Campo,Deslizamento,Alta,113,Moderado,Bloqueado,Área interditada após deslizamento de terra.,Risco Imediato
145,2025-05-22 01:23:33,-15.600079,-59.558676,Equipe de Campo,Pessoas Isoladas,Baixa,143,Nenhum,Bloqueado,Barreiras naturais impedem saída de moradores.,Suporte Necessário
146,2025-05-15 12:11:43,-5.260647,-53.234679,App Usuário,Incêndio,Alta,54,Nenhum,Difícil,"Fogo controlado por brigada local, mas danos registrados.",Suporte Necessário
147,2025-05-25 03:16:06,-3.140907,-53.652992,Equipe de Campo,Incêndio,Média,161,Moderado,Fácil,Incêndio em vegetação próximo a área urbana.,Suporte Necessário
148,2025-05-31 09:33:10,-21.010208,-56.350914,App Usuário,Alagamento,Média,136,Nenhum,Difícil,Moradores relatam alagamento em vias principais.,Suporte Necessário
149,2025-05-12 07:21:05,-14.463598,-51.381293,Drone,Pessoas Isoladas,Crítica,5,Leve,Fácil,Comunidade sem acesso após queda de ponte.,Suporte Necessário
150,2025-05-24 07:59:30,-10.331616,-58.077986,Equipe de Campo,Deslizamento,Média,24,Leve,Fácil,Deslizamento atingiu parte de uma residência.,Monitorar
151,2025-05-07 21:06:24,-5.022395,-63.219975,Drone,Deslizamento,Alta,12,Leve,Fácil,"Encosta cedeu parcialmente, risco de novos deslizamentos.",Monitorar
152,2025-05-29 05:21:59,-9.220835,-43.484902,Drone,Alagamento,Baixa,107,Severo,Bloqueado,Água acumulada impede o tráfego de veículos.,Atenção Urgente
153,2025-05-25 20:57:04,2.599416,-63.244263,App Usuário,Estrutura Danificada,Baixa,35,Nenhum,Bloqueado,Ponte apresenta rachaduras na base.,Monitorar
154,2025-06-01 23:29:20,-16.383336,-41.955987,Drone,Deslizamento,Baixa,7,Severo,Fácil,Deslizamento atingiu parte de uma residência.,Monitorar
155,2025-05-08 03:45:52,-5.234844,-62.568671,App Usuário,Pessoas Isoladas,Crítica,198,Nenhum,Fácil,Famílias ilhadas aguardam resgate.,Atenção Urgente
156,2025-05-15 23:18:13,-12.620486,-49.81576,Drone,Alagamento,Média,151,Moderado,Fácil,Região com nível de água acima da calçada.,Suporte Necessário
157,2025-05-29 15:16:39,-7.164744,-72.45344,Drone,Estrutura Danificada,Crítica,46,Moderado,Fácil,Ponte apresenta rachaduras na base.,Suporte Necessário
158,2025-05-19 02:37:49,-1.240385,-48.418063,App Usuário,Estrutura Danificada,Crítica,124,Moderado,Difícil,Prédio com estrutura comprometida após tremor.,Risco Imediato
159,2025-05-25 17:03:27,-6.948021,-42.53474,App Usuário,Incêndio,Baixa,77,Severo,Bloqueado,Moradores evacuados devido à fumaça intensa.,Atenção Urgente
160,2025-05-31 07:37:03,-2.765991,-47.451465,Drone,Pessoas Isoladas,Crítica,176,Moderado,Bloqueado,Famílias ilhadas aguardam resgate.,Risco Imediato
161,2025-05-23 22:22:18,-8.252279,-69.09975,Drone,Alagamento,Alta,18,Severo,Bloqueado,Moradores relatam alagamento em vias principais.,Atenção Urgente
162,2025-05-08 13:01:20,-28.135103,-50.877752,Equipe de Campo,Deslizamento,Média,82,Moderado,Bloqueado,Área interditada após deslizamento de terra.,Atenção Urgente
163,2025-05-13 08:19:36,-9.030267,-64.939395,App Usuário,Incêndio,Crítica,145,Moderado,Bloqueado,Moradores evacuados devido à fumaça intensa.,Risco Imediato
