id_zona,lat,lon,data_referencia,chuva_mm,temperatura_media,umidade_media,densidade_populacional,altitude_m,declividade_terreno,proximidade_curso_agua_km,tipo_solo,uso_solo,acessibilidade,atividade_sismica_recente,tipo_evento,ocorrencia_evento,risco_previsto,mes,estacao,regiao_brasil
Z_0011_NOR,-12.43208,-43.99106,2023-03-13,19.3,36.6,64.2,49.5,512.4,12.6,10.2,argiloso_seco,pastagem,baixa,0,nenhum,0,MUITO BAIXO,3,outono,Nordeste_Sertao
Z_0012_NOR,-2.79222,-73.60525,2024-04-11,323.3,24.4,79.2,572.5,289.2,13.9,65.7,argiloso,rural,baixa,0,inundação,0,BAIXO,4,outono,Norte_Amazonia
Z_0013_NOR,-3.58492,-66.77938,2024-02-29,328.4,25.4,83.4,3896.8,309.4,17.7,6.2,argiloso,area_umida,baixa,1,nenhum,0,MUITO BAIXO,2,verao,Norte_Amazonia
Z_0014_NOR,-0.22756,-49.22775,2024-01-10,245.6,29.5,74.8,1961.1,483.3,16.0,55.9,organico,area_umida,media,0,nenhum,0,MUITO BAIXO,1,verao,Norte_Amazonia
Z_0015_SUD,-20.71846,-43.94463,2023-06-20,91.9,18.8,55.15140069398834,2371.6,2590.8,28.7,13.2,organico,pastagem,baixa,1,deslizamento,0,BAIXO,6,inverno,Sudeste_Montanhoso_Litoraneo
Z_0016_SUD,-18.72266,-43.91152,2023-11-10,339.9,23.3,75.5,4128.4,1066.8,47.9,15.6,organico,pastagem,baixa,0,deslizamento,1,ALTO,11,primavera,Sudeste_Montanhoso_Litoraneo
Z_0017_NOR,-9.6755,-41.05456,2023-11-18,24.7,27.3,33.7,317.8,312.5,26.7,4.2,arenoso,rural,alta,0,nenhum,0,MUITO BAIXO,11,primavera,Nordeste_Sertao
Z_0018_NOR,-9.00875,-70.59463,2023-08-07,189.6,28.8,80.4,1759.5,352.2,10.2,37.6,arenoso,area_umida,baixa,0,inundação,0,MÉDIO,8,inverno,Norte_Amazonia
Z_0019_CEN,-22.31314,-58.41985,2024-06-05,27.6,33.4,58.05997099479686,484.2,1044.7,24.5,0.2,argiloso,area_umida,alta,0,nenhum,0,MUITO BAIXO,6,inverno,CentroOeste_Cerrado_Pantanal
Z_0020_NOR,-8.9043,-40.84555,2024-07-17,4.4,33.5,25.831330820362368,81.5,644.1,22.5,16.6,rochoso,rural,media,0,incêndio,1,MÉDIO,7,inverno,Nordeste_Sertao
Z_0021_SUD,-21.81518,-49.15524,2023-03-25,190.2,19.1,91.5,3922.3,2064.1,56.9,2.0,organico,rural,media,0,deslizamento,0,MÉDIO,3,outono,Sudeste_Montanhoso_Litoraneo
Z_0022_SUL,-33.3771,-49.70744,2024-09-21,163.5,13.4,51.3,4406.1,1133.2,20.3,7.5,organico,pastagem,baixa,0,nenhum,0,MUITO BAIXO,9,primavera,Sul_Campos_Planalto
Z_0023_NOR,-0.37185,-58.93019,2023-12-11,168.8,22.5,76.3,4338.1,216.6,6.7,1.9,argiloso,rural,media,1,nenhum,0,MUITO BAIXO,12,verao,Norte_Amazonia
Z_0024_NOR,-15.01291,-40.95543,2023-09-22,26.1,33.4,69.4,187.0,148.5,16.8,24.7,argiloso_seco,pastagem,baixa,0,nenhum,0,MUITO BAIXO,9,primavera,Nordeste_Sertao
Z_0025_CEN,-12.23781,-53.54279,2024-02-13,149.7,19.0,42.9,249.7,172.1,13.5,9.2,argiloso,area_umida,media,0,nenhum,0,MUITO BAIXO,2,verao,CentroOeste_Cerrado_Pantanal
Z_0026_SUL,-22.72332,-49.56459,2024-03-05,217.7,13.9,87.7,96.1,1307.6,16.2,3.4,argiloso,urbano,alta,0,inundação,0,BAIXO,3,outono,Sul_Campos_Planalto
Z_0027_NOR,-3.69375,-40.93436,2023-05-20,86.3,28.0,39.9,286.1,842.2,11.5,4.9,argiloso_seco,rural,media,0,nenhum,0,MUITO BAIXO,5,outono,Nordeste_Sertao
Z_0028_SUD,-24.494,-42.39171,2023-01-03,298.4,26.7,54.0,3581.9,12.5,48.0,19.2,rochoso,pastagem,baixa,0,nenhum,0,MUITO BAIXO,1,verao,Sudeste_Montanhoso_Litoraneo
Z_0029_NOR,-15.64356,-42.71281,2023-04-21,36.9,26.3,48.2,194.5,776.5,3.8,29.7,argiloso_seco,rural,baixa,0,nenhum,0,MUITO BAIXO,4,outono,Nordeste_Sertao
Z_0030_SUL,-32.87715,-56.65047,2023-05-01,165.6,10.7,81.4,4851.0,1396.5,19.4,29.3,arenoso_argiloso,floresta,media,0,nenhum,0,MUITO BAIXO,5,outono,Sul_Campos_Planalto
Z_0031_NOR,-10.38851,-43.96314,2023-07-27,14.2,25.9,42.39974154704166,367.9,992.9,21.8,26.6,arenoso,pastagem,baixa,0,nenhum,0,MUITO BAIXO,7,inverno,Nordeste_Sertao
Z_0032_SUD,-23.55406,-46.21218,2023-10-01,169.1,22.6,55.1,1616.6,799.2,32.8,28.2,rochoso,floresta,media,1,vendaval,0,BAIXO,10,primavera,Sudeste_Montanhoso_Litoraneo
Z_0033_NOR,3.61772,-67.01607,2024-04-17,379.6,24.3,73.9,4398.1,170.8,4.8,43.5,argiloso,urbano,alta,0,incêndio,0,BAIXO,4,outono,Norte_Amazonia
Z_0034_NOR,-13.10574,-38.51656,2024-03-23,59.2,28.7,49.5,87.7,700.3,0.4,16.9,argiloso_seco,rural,baixa,0,seca,0,BAIXO,3,outono,Nordeste_Sertao
Z_0035_NOR,-3.04734,-65.11497,2023-08-08,161.9,35.7,93.7,3272.6,218.0,18.0,1.3,argiloso,urbano,alta,0,nenhum,0,MUITO BAIXO,8,inverno,Norte_Amazonia
Z_0036_NOR,-7.80826,-40.04427,2023-05-02,26.5,39.4,64.4,332.5,395.5,15.2,23.1,arenoso,pastagem,alta,0,incêndio,0,BAIXO,5,outono,Nordeste_Sertao
Z_0037_SUD,-18.06881,-41.86117,2024-07-19,206.1,25.6,67.00785531879504,4584.0,2660.8,41.5,4.7,rochoso,urbano,alta,0,inundação,0,BAIXO,7,inverno,Sudeste_Montanhoso_Litoraneo
Z_0038_CEN,-15.45581,-48.18406,2024-08-05,17.5,18.1,10.51136203614399,74.4,720.9,5.1,28.8,latossolo,area_umida,media,0,seca,0,BAIXO,8,inverno,CentroOeste_Cerrado_Pantanal
Z_0039_SUD,-22.13117,-46.43774,2024-11-19,111.1,17.8,72.4,661.4,269.8,59.0,7.1,organico,urbano,alta,0,nenhum,0,MUITO BAIXO,11,primavera,Sudeste_Montanhoso_Litoraneo
Z_0040_NOR,-3.89971,-42.91995,2023-12-06,13.2,28.0,50.6,224.1,127.2,29.5,10.2,arenoso,rural,alta,0,nenhum,0,MUITO BAIXO,12,verao,Nordeste_Sertao
Z_0041_CEN,-23.42732,-48.87573,2023-05-07,131.2,26.4,36.2,404.5,325.5,0.6,7.0,latossolo,floresta,media,0,seca,0,BAIXO,5,outono,CentroOeste_Cerrado_Pantanal
Z_0042_NOR,-8.39567,-54.56861,2024-12-03,254.3,33.9,95.9,4514.8,402.4,10.1,68.6,argiloso,urbano,alta,0,nenhum,0,MUITO BAIXO,12,verao,Norte_Amazonia
Z_0043_NOR,2.25834,-53.93079,2024-03-24,408.6,26.3,89.7,3243.7,224.2,13.9,11.4,organico,urbano,media,0,inundação,0,BAIXO,3,outono,Norte_Amazonia
Z_0044_NOR,1.81067,-54.32235,2023-10-11,199.9,36.2,97.6,2558.2,64.8,11.0,20.2,argiloso,rural,baixa,0,inundação,0,MÉDIO,10,primavera,Norte_Amazonia
Z_0045_CEN,-20.14464,-59.41562,2023-03-26,143.2,33.1,72.1,33.9,928.9,3.0,17.8,latossolo,rural,media,0,incêndio,0,BAIXO,3,outono,CentroOeste_Cerrado_Pantanal
Z_0046_NOR,-11.7459,-42.19907,2024-11-28,99.2,40.8,34.0,239.3,869.8,7.9,11.4,rochoso,rural,baixa,0,seca,0,BAIXO,11,primavera,Nordeste_Sertao
Z_0047_NOR,-2.24644,-44.40248,2023-09-21,7.9,41.5,36.5,102.7,767.0,27.4,2.1,arenoso,pastagem,media,0,incêndio,0,MÉDIO,9,primavera,Nordeste_Sertao
Z_0048_SUD,-23.727,-46.80693,2023-02-10,343.7,26.6,68.1,2876.9,336.0,34.6,4.9,rochoso,floresta,baixa,0,nenhum,0,MUITO BAIXO,2,verao,Sudeste_Montanhoso_Litoraneo
Z_0049_NOR,-13.74029,-42.00911,2024-10-16,27.0,40.0,50.4,88.6,835.7,25.9,25.8,rochoso,rural,media,1,nenhum,0,MUITO BAIXO,10,primavera,Nordeste_Sertao
Z_0050_NOR,-2.08034,-38.42822,2024-11-14,12.7,21.9,27.4,33.5,575.5,0.6,14.1,arenoso,rural,baixa,0,incêndio,0,BAIXO,11,primavera,Nordeste_Sertao
Z_0051_CEN,-7.82324,-51.89077,2023-09-30,100.0,30.0,30.4,125.9,922.4,6.3,19.4,latossolo,rural,alta,0,nenhum,0,MUITO BAIXO,9,primavera,CentroOeste_Cerrado_Pantanal
Z_0052_CEN,-14.3069,-51.59875,2023-01-26,85.5,28.6,57.4,57.7,1002.9,9.8,4.1,argiloso,floresta,media,0,seca,0,BAIXO,1,verao,CentroOeste_Cerrado_Pantanal
Z_0053_NOR,-11.83449,-40.49783,2024-01-08,49.4,28.8,34.6,434.1,224.7,16.4,6.5,argiloso_seco,pastagem,alta,0,nenhum,0,MUITO BAIXO,1,verao,Nordeste_Sertao
Z_0054_SUL,-33.03717,-55.57927,2023-07-20,239.2,26.7,22.607585178805866,468.5,375.4,4.0,16.2,arenoso_argiloso,floresta,baixa,0,seca,0,BAIXO,7,inverno,Sul_Campos_Planalto
Z_0055_SUD,-19.82427,-48.7659,2023-03-31,86.3,15.0,77.2,4604.0,1710.6,30.8,14.6,rochoso,floresta,baixa,0,nenhum,0,MUITO BAIXO,3,outono,Sudeste_Montanhoso_Litoraneo
Z_0056_NOR,-4.17366,-44.76231,2024-08-02,1.2,26.2,10.0,119.1,247.0,11.8,6.5,arenoso,pastagem,baixa,0,seca,0,BAIXO,8,inverno,Nordeste_Sertao
Z_0057_NOR,-8.07861,-66.32944,2023-03-12,402.1,24.2,72.4,4521.6,243.1,20.0,19.6,argiloso,urbano,alta,0,inundação,0,BAIXO,3,outono,Norte_Amazonia
Z_0058_NOR,-2.62603,-55.93177,2023-08-12,266.6,27.2,70.4,3815.0,210.2,19.3,5.2,arenoso,area_umida,baixa,0,inundação,0,BAIXO,8,inverno,Norte_Amazonia
Z_0059_SUD,-18.36555,-41.26804,2023-10-21,305.7,34.9,83.0,4991.1,985.0,35.4,29.9,argiloso,rural,media,1,deslizamento,0,BAIXO,10,primavera,Sudeste_Montanhoso_Litoraneo
Z_0060_SUD,-21.3723,-45.36676,2024-08-23,240.4,20.1,34.274552658639294,4284.7,2214.4,56.7,25.3,organico,rural,baixa,0,deslizamento,1,ALTO,8,inverno,Sudeste_Montanhoso_Litoraneo
Z_0061_NOR,-15.28021,-40.46064,2024-11-30,80.7,39.5,65.8,59.3,596.0,11.5,5.6,rochoso,pastagem,alta,0,nenhum,0,MUITO BAIXO,11,primavera,Nordeste_Sertao
Z_0062_SUL,-33.17073,-55.65557,2024-01-09,193.1,21.5,40.2,1072.4,934.0,17.5,10.8,argiloso,rural,alta,0,nenhum,0,MUITO BAIXO,1,verao,Sul_Campos_Planalto
Z_0063_SUL,-22.0771,-55.9835,2023-12-30,239.8,26.3,79.4,3116.3,1323.6,22.0,29.2,organico,pastagem,media,0,nenhum,0,MUITO BAIXO,12,verao,Sul_Campos_Planalto
Z_0064_SUD,-19.34133,-46.67582,2023-06-09,238.5,19.4,46.28259145123975,626.1,2390.2,14.9,27.9,argiloso,floresta,baixa,2,nenhum,0,MUITO BAIXO,6,inverno,Sudeste_Montanhoso_Litoraneo
Z_0065_CEN,-14.06813,-59.12414,2024-08-02,27.8,28.2,17.80437931213325,432.3,1114.1,16.1,21.6,arenoso,area_umida,media,0,seca,0,BAIXO,8,inverno,CentroOeste_Cerrado_Pantanal
Z_0066_NOR,-10.65826,-39.23208,2024-01-20,56.1,39.6,34.4,330.8,636.4,13.1,0.4,arenoso,pastagem,media,0,seca,0,BAIXO,1,verao,Nordeste_Sertao
Z_0067_NOR,-5.36851,-62.89659,2023-12-29,403.3,26.0,78.3,4901.9,38.9,5.5,34.8,argiloso,urbano,alta,0,inundação,1,MÉDIO,12,verao,Norte_Amazonia
Z_0068_SUD,-20.33635,-40.02344,2024-11-06,108.0,30.3,52.7,1451.8,474.7,15.4,25.2,rochoso,rural,baixa,0,nenhum,0,MUITO BAIXO,11,primavera,Sudeste_Montanhoso_Litoraneo
Z_0069_NOR,-5.74884,-71.24291,2024-03-30,246.2,28.7,75.2,3028.1,308.4,12.5,36.0,argiloso,rural,media,0,vendaval,0,MÉDIO,3,outono,Norte_Amazonia
Z_0070_NOR,1.73679,-58.03544,2023-05-07,171.0,33.9,76.7,3522.6,80.0,11.4,9.5,organico,floresta,baixa,0,vendaval,0,BAIXO,5,outono,Norte_Amazonia
Z_0071_SUD,-21.66335,-46.03402,2024-09-23,173.6,34.3,61.5,1950.9,107.2,27.3,28.2,rochoso,rural,alta,0,nenhum,0,MUITO BAIXO,9,primavera,Sudeste_Montanhoso_Litoraneo
Z_0072_SUD,-23.1347,-41.97059,2024-09-03,342.2,19.3,57.3,4674.1,1884.1,11.1,2.2,argiloso,urbano,alta,0,inundação,0,MÉDIO,9,primavera,Sudeste_Montanhoso_Litoraneo
Z_0073_SUD,-23.80505,-42.76185,2023-10-26,234.5,30.4,81.2,1988.4,1155.6,29.6,10.5,rochoso,rural,baixa,0,vendaval,0,BAIXO,10,primavera,Sudeste_Montanhoso_Litoraneo
Z_0074_CEN,-10.90789,-59.20946,2023-07-13,39.9,34.4,10.0,470.3,425.7,20.3,3.2,arenoso,floresta,baixa,0,inundação,0,BAIXO,7,inverno,CentroOeste_Cerrado_Pantanal
Z_0075_NOR,-0.60297,-69.02747,2024-12-03,429.5,31.4,95.6,3954.5,314.5,18.7,31.6,organico,floresta,baixa,0,vendaval,0,BAIXO,12,verao,Norte_Amazonia
Z_0076_SUL,-22.85524,-56.13574,2023-09-22,241.7,13.7,86.2,379.7,546.0,7.8,10.7,arenoso_argiloso,floresta,media,0,seca,0,BAIXO,9,primavera,Sul_Campos_Planalto
Z_0077_SUL,-30.19577,-55.95895,2023-12-18,173.1,11.8,68.4,2184.4,1360.1,29.7,16.5,arenoso_argiloso,pastagem,alta,0,inundação,0,BAIXO,12,verao,Sul_Campos_Planalto
Z_0078_CEN,-5.36361,-56.30247,2023-01-25,73.4,23.0,52.7,254.7,288.9,17.6,8.0,arenoso,area_umida,media,0,inundação,0,BAIXO,1,verao,CentroOeste_Cerrado_Pantanal
Z_0079_SUL,-30.09124,-55.15183,2024-05-18,199.3,23.3,54.5,493.1,148.7,10.1,21.7,arenoso_argiloso,rural,baixa,1,nenhum,0,MUITO BAIXO,5,outono,Sul_Campos_Planalto
Z_0080_NOR,-0.60705,-72.62139,2024-04-05,193.7,33.6,93.6,1848.6,349.3,4.7,25.2,arenoso,floresta,baixa,0,nenhum,0,MUITO BAIXO,4,outono,Norte_Amazonia
Z_0081_NOR,4.22658,-68.84609,2023-08-16,221.5,34.8,94.9,3471.7,300.4,6.7,38.9,organico,rural,baixa,0,incêndio,0,BAIXO,8,inverno,Norte_Amazonia
Z_0082_NOR,-0.59428,-50.56311,2024-07-23,289.6,29.7,93.9,3578.8,315.0,6.9,27.8,organico,area_umida,media,1,inundação,0,MÉDIO,7,inverno,Norte_Amazonia
Z_0083_SUL,-31.96023,-57.48817,2023-05-19,213.0,9.0,64.4,3098.0,254.0,23.6,7.5,argiloso,floresta,baixa,0,nenhum,0,MUITO BAIXO,5,outono,Sul_Campos_Planalto
Z_0084_SUD,-18.29233,-46.17115,2023-05-25,261.8,29.4,63.1,2270.3,606.2,30.0,12.1,argiloso,urbano,alta,0,deslizamento,1,MÉDIO,5,outono,Sudeste_Montanhoso_Litoraneo
Z_0085_SUD,-18.07964,-46.11972,2023-03-01,296.7,19.4,73.9,4930.2,2604.9,26.0,2.1,argiloso,urbano,alta,0,deslizamento,0,MÉDIO,3,outono,Sudeste_Montanhoso_Litoraneo
Z_0086_NOR,0.21052,-68.09915,2024-08-27,331.3,36.6,77.9,4289.9,215.0,19.9,62.2,arenoso,rural,media,0,inundação,0,BAIXO,8,inverno,Norte_Amazonia
Z_0087_NOR,-7.93801,-73.11876,2024-02-20,279.9,37.3,78.1,505.5,498.7,9.9,22.4,arenoso,urbano,alta,0,nenhum,0,MUITO BAIXO,2,verao,Norte_Amazonia
Z_0088_CEN,-13.80137,-51.58935,2024-04-13,192.2,27.1,33.3,352.6,289.7,24.7,19.7,latossolo,rural,media,0,nenhum,0,MUITO BAIXO,4,outono,CentroOeste_Cerrado_Pantanal
Z_0089_SUL,-26.27441,-48.21266,2023-09-26,204.1,10.0,79.9,3160.6,563.2,28.5,13.7,organico,floresta,media,0,deslizamento,1,MÉDIO,9,primavera,Sul_Campos_Planalto
Z_0090_NOR,-7.45217,-70.82792,2023-12-07,162.2,25.3,82.5,4388.2,346.3,14.4,52.0,argiloso,urbano,alta,0,vendaval,0,BAIXO,12,verao,Norte_Amazonia
Z_0091_SUL,-25.44106,-48.41744,2024-07-30,122.9,15.2,38.591915709293325,3291.5,204.0,31.0,1.9,organico,pastagem,baixa,0,inundação,0,BAIXO,7,inverno,Sul_Campos_Planalto
Z_0092_SUD,-20.28581,-41.58832,2023-12-04,137.1,30.9,75.9,3761.4,708.3,28.5,27.3,rochoso,floresta,baixa,0,vendaval,0,BAIXO,12,verao,Sudeste_Montanhoso_Litoraneo
Z_0093_SUD,-18.72236,-47.56987,2024-02-15,260.7,16.4,76.0,3860.7,2348.9,30.4,22.6,organico,urbano,alta,0,deslizamento,0,MÉDIO,2,verao,Sudeste_Montanhoso_Litoraneo
Z_0094_NOR,-11.17804,-41.25939,2023-03-22,96.3,41.4,51.0,304.5,581.8,4.7,23.6,rochoso,pastagem,alta,0,incêndio,0,BAIXO,3,outono,Nordeste_Sertao
Z_0095_CEN,-9.05412,-58.20383,2023-07-16,7.9,36.5,29.76940002169073,354.5,1072.9,2.4,1.8,latossolo,pastagem,alta,0,incêndio,0,MÉDIO,7,inverno,CentroOeste_Cerrado_Pantanal
Z_0096_NOR,-14.0875,-38.34341,2024-07-07,2.3,28.6,16.714654924000683,138.6,209.9,2.0,4.8,rochoso,rural,baixa,0,incêndio,0,BAIXO,7,inverno,Nordeste_Sertao
Z_0097_CEN,-10.73716,-57.57404,2023-09-02,101.6,34.9,51.8,343.7,168.9,22.1,22.3,argiloso,area_umida,baixa,0,incêndio,0,BAIXO,9,primavera,CentroOeste_Cerrado_Pantanal
Z_0098_NOR,-15.94247,-43.43308,2024-06-29,10.2,30.8,18.790389044801003,203.2,446.3,12.5,19.7,arenoso,pastagem,alta,1,seca,0,MÉDIO,6,inverno,Nordeste_Sertao
Z_0099_NOR,-10.56821,-39.50034,2023-09-11,66.4,39.1,34.5,493.5,437.3,3.1,0.2,argiloso_seco,rural,media,0,nenhum,0,MUITO BAIXO,9,primavera,Nordeste_Sertao
Z_0100_SUD,-23.78306,-43.41431,2023-01-05,250.5,28.2,75.4,4231.0,2520.2,6.3,29.1,rochoso,rural,baixa,0,vendaval,0,BAIXO,1,verao,Sudeste_Montanhoso_Litoraneo
Z_0101_SUD,-18.6795,-44.01837,2023-05-03,250.6,22.6,82.2,1853.6,177.2,47.0,20.5,argiloso,pastagem,media,0,deslizamento,1,BAIXO,5,outono,Sudeste_Montanhoso_Litoraneo
Z_0102_NOR,-7.56842,-67.89807,2023-05-28,413.0,32.0,74.3,1307.2,308.7,19.9,61.7,argiloso,area_umida,baixa,0,nenhum,0,MUITO BAIXO,5,outono,Norte_Amazonia
Z_0103_NOR,3.52938,-63.79892,2023-04-11,255.2,24.1,83.5,93.2,362.1,1.4,58.1,organico,rural,media,0,vendaval,0,BAIXO,4,outono,Norte_Amazonia
Z_0104_NOR,4.82745,-72.44404,2023-04-01,187.7,26.0,82.7,4796.7,172.7,18.3,76.2,organico,rural,baixa,0,nenhum,0,MUITO BAIXO,4,outono,Norte_Amazonia
Z_0105_NOR,-13.90579,-43.96112,2024-12-22,17.7,30.3,35.5,78.2,275.7,19.4,15.0,argiloso_seco,rural,alta,0,incêndio,0,BAIXO,12,verao,Nordeste_Sertao
Z_0106_NOR,-9.99184,-42.91248,2024-09-29,22.7,24.6,32.9,24.5,539.4,14.6,16.3,arenoso,pastagem,media,0,nenhum,0,MUITO BAIXO,9,primavera,Nordeste_Sertao
Z_0107_CEN,-9.91852,-52.79712,2023-02-07,179.6,30.4,67.0,347.2,1164.3,3.1,11.1,argiloso,rural,alta,0,inundação,0,BAIXO,2,verao,CentroOeste_Cerrado_Pantanal
Z_0108_SUD,-23.10268,-39.45193,2023-10-17,189.5,34.8,50.0,1818.2,107.9,11.7,4.1,rochoso,floresta,baixa,0,inundação,1,MÉDIO,10,primavera,Sudeste_Montanhoso_Litoraneo
Z_0109_NOR,-3.14835,-39.08491,2023-06-18,25.7,24.3,11.493912972767529,210.6,876.3,27.0,26.8,arenoso,rural,baixa,0,seca,0,BAIXO,6,inverno,Nordeste_Sertao
Z_0110_SUL,-28.85911,-56.85744,2024-07-22,167.4,9.2,45.06486231306004,4545.5,1215.1,32.4,28.8,arenoso_argiloso,rural,baixa,0,inundação,0,BAIXO,7,inverno,Sul_Campos_Planalto
Z_0111_NOR,1.15121,-69.20241,2024-04-15,435.3,29.6,78.5,3891.0,295.5,13.3,78.1,arenoso,rural,baixa,0,inundação,0,BAIXO,4,outono,Norte_Amazonia
Z_0112_SUL,-31.90559,-52.69498,2023-10-27,94.3,10.1,54.1,180.4,1355.9,17.4,0.1,organico,urbano,alta,0,seca,0,BAIXO,10,primavera,Sul_Campos_Planalto
Z_0113_SUD,-22.86902,-48.36417,2023-09-05,268.0,34.5,70.2,4121.0,59.8,46.3,8.8,rochoso,pastagem,baixa,0,vendaval,0,BAIXO,9,primavera,Sudeste_Montanhoso_Litoraneo
Z_0114_SUD,-19.94034,-48.36194,2024-01-24,270.6,18.4,86.4,1554.6,1113.6,55.1,27.6,argiloso,urbano,alta,0,nenhum,0,MUITO BAIXO,1,verao,Sudeste_Montanhoso_Litoraneo
Z_0115_CEN,-14.61844,-56.21998,2024-06-04,24.1,27.6,36.87905877758166,49.8,226.6,6.2,14.4,latossolo,area_umida,alta,0,seca,0,BAIXO,6,inverno,CentroOeste_Cerrado_Pantanal
Z_0116_SUD,-19.79808,-41.04512,2024-12-01,329.3,18.2,75.4,1955.9,2434.4,43.7,20.9,organico,urbano,media,0,deslizamento,1,ALTO,12,verao,Sudeste_Montanhoso_Litoraneo
Z_0117_SUD,-19.69829,-42.99573,2023-11-15,308.7,26.5,52.8,2084.1,1578.0,58.8,17.7,rochoso,floresta,baixa,0,inundação,0,BAIXO,11,primavera,Sudeste_Montanhoso_Litoraneo
Z_0118_CEN,-13.71823,-45.18925,2024-05-28,105.7,35.4,54.0,28.4,465.9,12.1,12.7,argiloso,pastagem,media,0,inundação,0,BAIXO,5,outono,CentroOeste_Cerrado_Pantanal
Z_0119_NOR,-7.06643,-50.09419,2023-11-14,376.4,22.7,91.9,1370.5,321.8,3.9,74.0,organico,floresta,media,0,vendaval,0,BAIXO,11,primavera,Norte_Amazonia
Z_0120_CEN,-11.09894,-46.86028,2023-01-12,87.8,25.8,62.7,19.9,493.9,14.8,16.7,arenoso,pastagem,alta,0,incêndio,0,BAIXO,1,verao,CentroOeste_Cerrado_Pantanal
Z_0121_NOR,-16.01021,-39.20776,2024-06-29,0.2,32.6,52.82578595235464,406.5,889.5,25.2,16.1,argiloso_seco,rural,alta,0,nenhum,0,MUITO BAIXO,6,inverno,Nordeste_Sertao
Z_0122_SUD,-21.05351,-41.32296,2024-02-14,183.2,27.0,77.4,542.8,1117.7,48.0,14.6,organico,urbano,alta,0,deslizamento,1,MÉDIO,2,verao,Sudeste_Montanhoso_Litoraneo
Z_0123_SUD,-19.36306,-41.05604,2024-03-19,90.1,22.2,74.4,4656.3,2097.6,40.4,4.5,argiloso,urbano,media,0,vendaval,0,BAIXO,3,outono,Sudeste_Montanhoso_Litoraneo
Z_0124_NOR,-5.39576,-68.68072,2024-09-06,362.8,32.6,85.4,1484.2,391.0,1.1,8.9,argiloso,area_umida,media,0,inundação,0,MÉDIO,9,primavera,Norte_Amazonia
Z_0125_SUD,-24.24532,-40.41048,2023-05-16,223.2,21.7,87.5,4442.5,1391.2,55.0,15.6,rochoso,floresta,media,0,nenhum,0,MUITO BAIXO,5,outono,Sudeste_Montanhoso_Litoraneo
Z_0126_SUL,-22.38155,-53.55335,2024-06-05,238.4,10.8,46.49661481671467,2516.0,855.6,21.2,15.3,argiloso,pastagem,baixa,0,nenhum,0,MUITO BAIXO,6,inverno,Sul_Campos_Planalto
Z_0127_SUL,-22.39022,-57.17571,2023-06-15,156.6,5.7,45.67256345181614,2612.9,349.6,2.3,29.8,organico,urbano,alta,0,nenhum,0,MUITO BAIXO,6,inverno,Sul_Campos_Planalto
Z_0128_SUL,-30.85289,-55.34476,2023-07-24,219.6,27.8,51.10564854813399,1387.1,166.8,1.8,16.4,argiloso,pastagem,alta,0,seca,0,BAIXO,7,inverno,Sul_Campos_Planalto
