report_id,timestamp,latitude,longitude,source_type,observation_type,severity_reported,num_affected_estimate,infrastructure_damage,accessibility,additional_notes,AREA_RISK_CLASSIFICATION
30,2025-05-20 11:34:06,-11.123018,-50.726996,App Usuário,Estrutura Danificada,Média,179,Nenhum,Fácil,Officiis odit debitis tempora in blanditiis tempore id voluptatum modi omnis praesentium assumenda.,Suporte Necessário
31,2025-05-06 10:18:46,-7.354758,-35.700417,App Usuário,Incêndio,Crítica,156,Leve,Bloqueado,Debitis cumque sequi sapiente quisquam quam.,Risco Imediato
32,2025-05-09 04:42:16,-7.255956,-70.780435,Equipe de Campo,Deslizamento,Média,101,Severo,Fácil,Voluptate provident illo autem omnis sapiente officia deserunt veniam.,Atenção Urgente
33,2025-05-20 20:02:47,-3.290859,-66.023949,App Usuário,Pessoas Isoladas,Alta,38,Nenhum,Fácil,Atque ea non facere vero tempora vero ex in dolore repellat.,Monitorar
34,2025-05-20 20:44:12,-31.44845,-54.441145,Drone,Alagamento,Alta,28,Moderado,Difícil,Commodi deserunt recusandae quibusdam animi.,Suporte Necessário
35,2025-05-25 12:33:56,1.761117,-52.051628,Equipe de Campo,Incêndio,Média,182,Severo,Bloqueado,Unde excepturi numquam sunt enim iste odit nihil neque tenetur nesciunt.,Risco Imediato
36,2025-05-18 22:46:33,2.994786,-61.073129,Equipe de Campo,Deslizamento,Baixa,98,Moderado,Bloqueado,Corrupti nobis aliquam possimus.,Suporte Necessário
37,2025-05-30 01:59:24,-25.601961,-53.077419,Drone,Estrutura Danificada,Baixa,193,Leve,Fácil,Magnam quisquam tempora tenetur laboriosam totam fugit molestiae nisi voluptate exercitationem explicabo ipsam voluptatum asperiores modi.,Monitorar
38,2025-05-07 13:51:17,-8.143335,-51.183205,App Usuário,Incêndio,Média,157,Severo,Difícil,Unde recusandae iusto quidem inventore.,Atenção Urgente
39,2025-05-29 16:09:54,-13.417431,-52.337423,App Usuário,Incêndio,Crítica,46,Nenhum,Fácil,Praesentium ea mollitia ad iste explicabo voluptatum.,Suporte Necessário
40,2025-05-19 09:31:40,-6.894352,-62.020048,App Usuário,Pessoas Isoladas,Média,18,Nenhum,Difícil,Reiciendis eos at tempore eligendi veritatis exercitationem voluptate fugit reiciendis.,Monitorar
41,2025-05-25 12:49:46,-11.166835,-60.898362,App Usuário,Pessoas Isoladas,Crítica,159,Nenhum,Fácil,Numquam perspiciatis quidem voluptas dolor commodi deserunt aut sed.,Atenção Urgente
42,2025-05-10 10:30:32,-12.3074,-45.574889,Drone,Deslizamento,Alta,146,Moderado,Difícil,Consequatur praesentium modi magnam hic dicta voluptate nemo sapiente minus.,Atenção Urgente
43,2025-05-25 10:54:16,-16.960391,-57.935999,Drone,Alagamento,Média,37,Nenhum,Fácil,Impedit hic corrupti nam delectus minima error soluta blanditiis.,Monitorar
44,2025-05-03 23:47:56,-4.489583,-39.138933,App Usuário,Incêndio,Crítica,191,Moderado,Bloqueado,Pariatur sapiente perferendis odio voluptates similique laborum tempore soluta id.,Risco Imediato
45,2025-05-27 23:55:59,-17.811325,-50.620101,Equipe de Campo,Incêndio,Média,89,Nenhum,Bloqueado,Optio magni est adipisci architecto in veniam cupiditate est accusantium.,Suporte Necessário
46,2025-05-12 08:24:10,-8.609247,-42.651768,Drone,Deslizamento,Alta,68,Moderado,Bloqueado,Dolore quisquam quas repellat placeat dolorem dolore atque odio inventore deserunt consectetur.,Atenção Urgente
47,2025-05-29 05:54:58,-4.874733,-67.475174,Drone,Estrutura Danificada,Crítica,158,Nenhum,Bloqueado,Maxime assumenda iste rem minima deleniti harum consectetur.,Risco Imediato
48,2025-05-30 04:49:52,-12.562457,-53.686169,App Usuário,Pessoas Isoladas,Alta,91,Leve,Bloqueado,Soluta quod nemo eligendi.,Atenção Urgente
49,2025-05-30 08:47:08,-21.370039,-46.511678,App Usuário,Incêndio,Baixa,86,Nenhum,Fácil,Quidem rem sint repudiandae eos fuga itaque.,Monitorar
50,2025-05-06 16:37:19,-15.936094,-42.625893,Drone,Estrutura Danificada,Baixa,19,Moderado,Bloqueado,Impedit voluptates eum sed.,Suporte Necessário
51,2025-05-09 23:47:20,-24.964437,-50.493447,Equipe de Campo,Estrutura Danificada,Baixa,51,Moderado,Bloqueado,Magni nam eius voluptas et rerum quia aspernatur voluptate cupiditate.,Suporte Necessário
52,2025-05-31 16:22:35,-6.423169,-47.832645,Drone,Incêndio,Média,73,Severo,Fácil,Iste praesentium voluptate temporibus itaque accusantium qui aspernatur nisi.,Suporte Necessário
53,2025-05-28 22:07:11,-11.793396,-62.453834,Drone,Deslizamento,Alta,106,Leve,Bloqueado,Illum veritatis expedita fugit unde voluptate dicta aut soluta nostrum sit deleniti.,Atenção Urgente
54,2025-05-12 16:38:08,-7.734026,-47.055113,App Usuário,Deslizamento,Crítica,173,Severo,Bloqueado,Assumenda rerum eligendi rem eveniet consequuntur nesciunt.,Risco Imediato
55,2025-05-10 12:47:20,-0.019076,-68.711719,Drone,Alagamento,Média,78,Moderado,Bloqueado,Ullam eum iste ab mollitia quas nihil beatae.,Atenção Urgente
56,2025-05-16 03:12:25,-13.299111,-53.836653,App Usuário,Estrutura Danificada,Alta,135,Nenhum,Difícil,Reprehenderit error dolorem voluptas exercitationem.,Atenção Urgente
57,2025-05-28 03:23:56,-11.857831,-49.665108,App Usuário,Estrutura Danificada,Média,170,Leve,Bloqueado,Est architecto vel dolor et temporibus numquam ad nulla animi quis reprehenderit.,Atenção Urgente
58,2025-05-25 22:40:14,-12.211229,-55.338912,Equipe de Campo,Estrutura Danificada,Média,65,Nenhum,Bloqueado,Voluptate blanditiis at minus corrupti ea ipsa ab laborum error alias minus quidem consectetur inventore.,Suporte Necessário
59,2025-05-23 03:05:42,-21.101471,-54.577339,Drone,Deslizamento,Média,38,Nenhum,Fácil,Accusantium perferendis quas nemo tempore.,Monitorar
60,2025-05-28 05:03:46,-0.599481,-49.489981,Equipe de Campo,Deslizamento,Média,173,Moderado,Difícil,Incidunt explicabo amet odio tempore modi.,Atenção Urgente
61,2025-05-27 13:41:28,0.391258,-64.822632,App Usuário,Deslizamento,Baixa,74,Moderado,Fácil,Neque pariatur libero quaerat nobis.,Monitorar
62,2025-06-02 06:56:57,-11.795056,-47.860542,App Usuário,Alagamento,Média,7,Nenhum,Bloqueado,Expedita molestiae nam corrupti exercitationem iusto alias ratione voluptate repudiandae quis harum assumenda ipsum.,Suporte Necessário
63,2025-05-23 19:40:32,-11.244695,-55.132994,Equipe de Campo,Alagamento,Média,137,Severo,Fácil,Nostrum temporibus dignissimos labore sapiente architecto illo exercitationem voluptate.,Atenção Urgente
64,2025-05-03 22:04:26,-20.272442,-50.728947,Equipe de Campo,Alagamento,Baixa,53,Leve,Difícil,Excepturi est ad aut eum non beatae veniam cupiditate.,Monitorar
65,2025-05-08 18:26:55,-0.552284,-62.607702,Drone,Estrutura Danificada,Baixa,22,Moderado,Fácil,Et occaecati ratione nemo voluptas quo.,Monitorar
66,2025-05-26 11:02:02,-13.759275,-50.789064,Equipe de Campo,Estrutura Danificada,Alta,63,Leve,Fácil,Facilis tenetur possimus accusantium nisi non.,Suporte Necessário
67,2025-06-01 22:34:42,1.266784,-68.862743,Equipe de Campo,Deslizamento,Média,4,Severo,Bloqueado,Dignissimos totam sapiente cumque quod quos placeat distinctio odio sequi.,Atenção Urgente
68,2025-05-14 05:05:24,-15.402838,-50.43623,App Usuário,Alagamento,Baixa,165,Nenhum,Difícil,Natus minima quas tempore aspernatur iure.,Suporte Necessário
69,2025-05-31 18:17:39,-7.19532,-71.701883,Drone,Incêndio,Média,42,Nenhum,Bloqueado,Ab aliquam tenetur fugit sit nostrum doloremque vel explicabo nam alias distinctio numquam tempora.,Suporte Necessário
70,2025-05-06 09:39:25,-12.50727,-59.451424,Drone,Deslizamento,Alta,118,Nenhum,Fácil,Quo praesentium adipisci animi molestiae.,Suporte Necessário
71,2025-05-05 21:15:55,-12.98455,-59.306283,Equipe de Campo,Incêndio,Alta,93,Moderado,Difícil,Aliquid eligendi officiis eos atque excepturi cum culpa vel ullam nulla.,Atenção Urgente
72,2025-05-31 17:03:21,-20.655829,-43.343276,App Usuário,Incêndio,Média,171,Leve,Difícil,Tempore cupiditate magni non modi quo debitis vero officia consequatur odio.,Suporte Necessário
73,2025-05-10 15:55:22,-14.337903,-49.847222,Drone,Incêndio,Baixa,112,Nenhum,Bloqueado,Minus ea minima maxime provident consectetur saepe autem nulla facere.,Suporte Necessário
74,2025-05-08 10:33:31,-7.715924,-43.731719,Drone,Deslizamento,Média,58,Leve,Bloqueado,Quaerat praesentium dolore soluta quasi temporibus quia fuga consectetur delectus ea fugiat eveniet.,Suporte Necessário
75,2025-05-22 16:26:19,-0.595604,-68.305319,Equipe de Campo,Incêndio,Baixa,113,Moderado,Difícil,Deserunt at odit eligendi vitae modi illo.,Suporte Necessário
76,2025-05-29 07:44:06,-12.902471,-41.219948,App Usuário,Estrutura Danificada,Baixa,149,Nenhum,Difícil,Consequatur fuga facere atque explicabo ex odit quidem sit accusantium.,Suporte Necessário
77,2025-05-21 14:03:12,-14.977865,-55.581669,Equipe de Campo,Incêndio,Baixa,101,Nenhum,Difícil,Officiis reprehenderit enim minima beatae ab laudantium dicta rerum at officia.,Suporte Necessário
78,2025-05-06 22:19:52,-5.546069,-37.460087,Equipe de Campo,Incêndio,Média,170,Nenhum,Bloqueado,Pariatur nostrum maiores debitis cum et soluta doloribus quas error quis quis aliquam.,Atenção Urgente
79,2025-05-28 13:54:10,3.147057,-62.450409,App Usuário,Alagamento,Crítica,23,Leve,Difícil,In totam est qui.,Suporte Necessário
80,2025-05-20 00:26:57,-4.597386,-41.703124,Drone,Deslizamento,Média,60,Nenhum,Fácil,Sint est quisquam non voluptas alias.,Monitorar
81,2025-05-16 04:29:42,-18.366261,-55.620438,Drone,Alagamento,Alta,40,Nenhum,Difícil,Consequatur at eum odit quia reprehenderit vel delectus delectus voluptatum facere asperiores occaecati.,Suporte Necessário
82,2025-05-25 08:57:39,-5.434196,-64.389749,Drone,Alagamento,Crítica,158,Leve,Bloqueado,Iste magni reiciendis laboriosam ipsum.,Risco Imediato
83,2025-05-18 20:22:50,0.652849,-59.810402,Equipe de Campo,Incêndio,Alta,89,Leve,Fácil,Facere ipsam adipisci libero modi laborum libero consequuntur nulla.,Suporte Necessário
84,2025-05-26 09:48:00,-14.631671,-42.611152,Drone,Pessoas Isoladas,Baixa,71,Leve,Difícil,Commodi distinctio similique similique minus.,Monitorar
85,2025-05-27 01:20:32,-9.263354,-37.548194,Equipe de Campo,Deslizamento,Alta,165,Moderado,Bloqueado,Voluptas illum ipsum sed reiciendis adipisci quos reiciendis.,Risco Imediato
86,2025-05-07 01:22:55,-9.578141,-65.919185,App Usuário,Deslizamento,Média,37,Leve,Bloqueado,Quibusdam sequi aperiam totam quas expedita.,Suporte Necessário
87,2025-05-30 03:13:40,-10.69081,-49.356868,Drone,Incêndio,Alta,48,Nenhum,Fácil,Earum animi consequatur optio modi vero ad explicabo.,Monitorar
88,2025-05-18 03:40:54,-16.638276,-46.36293,App Usuário,Alagamento,Média,94,Leve,Bloqueado,Molestiae voluptates rerum nam voluptatum quibusdam vero aliquam sapiente quaerat nisi quis.,Suporte Necessário
89,2025-05-25 20:55:40,-3.895409,-66.805279,App Usuário,Deslizamento,Média,124,Nenhum,Difícil,Dolores accusantium dolores vitae consequuntur nobis atque nobis aspernatur voluptatem sunt quia debitis.,Suporte Necessário
90,2025-05-08 01:14:41,-4.856624,-42.982518,App Usuário,Estrutura Danificada,Média,103,Nenhum,Fácil,Nihil totam rem culpa magnam eum nihil nihil explicabo voluptas.,Suporte Necessário
91,2025-05-19 07:25:22,-21.707709,-41.205428,Drone,Pessoas Isoladas,Alta,183,Moderado,Fácil,Quod fugiat ab aperiam dolor ea reiciendis facere eum rem tenetur accusamus alias rem excepturi.,Atenção Urgente
92,2025-05-18 22:18:50,0.029767,-66.363575,App Usuário,Pessoas Isoladas,Baixa,53,Moderado,Difícil,Ipsum dolores earum itaque nobis modi veniam cupiditate corporis molestiae unde id laborum minus commodi excepturi.,Suporte Necessário
93,2025-05-29 18:03:41,-10.761538,-60.888262,Drone,Alagamento,Média,31,Severo,Bloqueado,Quo accusantium quae esse expedita omnis corporis dicta pariatur officia eius quod rem.,Atenção Urgente
94,2025-05-06 21:13:08,-5.127853,-43.180093,Drone,Incêndio,Alta,175,Leve,Fácil,Sed enim doloribus vitae exercitationem voluptatibus natus esse labore tenetur.,Suporte Necessário
95,2025-05-10 03:02:59,4.051833,-59.938765,App Usuário,Pessoas Isoladas,Baixa,120,Nenhum,Bloqueado,Non quia consequatur ipsum expedita occaecati sed repudiandae eum inventore.,Suporte Necessário
96,2025-05-21 22:48:06,-16.705663,-44.739258,App Usuário,Pessoas Isoladas,Crítica,79,Severo,Bloqueado,Minus unde esse modi numquam ducimus.,Risco Imediato
97,2025-05-09 12:36:47,-16.134168,-55.820305,Drone,Alagamento,Alta,123,Nenhum,Fácil,Dolores explicabo ullam veniam eum incidunt quia.,Suporte Necessário
98,2025-05-06 12:58:55,-18.264572,-53.073531,App Usuário,Estrutura Danificada,Alta,9,Leve,Fácil,Libero animi ipsum quis ullam ullam ut nisi sit.,Monitorar
99,2025-05-13 10:20:10,-21.274427,-45.100129,Drone,Deslizamento,Crítica,124,Nenhum,Fácil,Veniam provident laboriosam nulla ratione non.,Atenção Urgente
100,2025-05-08 02:04:09,-10.639926,-37.469497,Equipe de Campo,Incêndio,Alta,141,Leve,Fácil,Voluptatem quos aliquam voluptatibus molestias exercitationem rem.,Suporte Necessário
101,2025-05-12 21:47:47,-18.324718,-57.270528,Equipe de Campo,Incêndio,Baixa,57,Nenhum,Difícil,Rem voluptatibus dolor unde officia velit debitis facere optio voluptatum magnam fugiat natus.,Monitorar
102,2025-05-13 15:21:18,-21.73616,-45.343204,App Usuário,Pessoas Isoladas,Média,117,Severo,Bloqueado,Illum iure a commodi rem eligendi.,Risco Imediato
103,2025-05-25 19:30:52,-14.024768,-56.38644,Drone,Incêndio,Baixa,8,Moderado,Fácil,Tempore aut beatae voluptates ab commodi ullam.,Monitorar
104,2025-05-27 08:15:54,-10.415248,-48.143948,App Usuário,Incêndio,Baixa,29,Moderado,Difícil,Illo laboriosam rerum nemo reiciendis eveniet minus officia repudiandae.,Monitorar
105,2025-05-17 23:00:44,-9.73836,-71.415777,Equipe de Campo,Pessoas Isoladas,Crítica,123,Moderado,Fácil,Sequi iste itaque mollitia distinctio autem fugiat qui eius aperiam.,Atenção Urgente
106,2025-05-17 13:21:29,1.421877,-55.00078,Equipe de Campo,Alagamento,Baixa,93,Nenhum,Bloqueado,Quo atque quibusdam consectetur.,Suporte Necessário
107,2025-05-22 02:39:43,-2.05588,-58.169231,Equipe de Campo,Deslizamento,Média,57,Moderado,Fácil,Quam ipsam sapiente reiciendis quae impedit pariatur nobis officia dolorum repellendus soluta porro.,Suporte Necessário
108,2025-05-20 05:51:15,-9.991885,-62.688204,App Usuário,Incêndio,Média,65,Nenhum,Bloqueado,Adipisci totam maiores delectus porro optio porro sit adipisci deserunt aliquid.,Suporte Necessário
109,2025-05-29 02:09:02,-16.322534,-57.642518,Drone,Incêndio,Alta,152,Nenhum,Bloqueado,Quo aperiam nemo nobis voluptatum perspiciatis doloribus laborum debitis itaque.,Atenção Urgente
110,2025-05-27 21:39:20,-7.75648,-38.306555,Equipe de Campo,Incêndio,Alta,87,Severo,Difícil,Dolor esse fugit neque ipsa debitis iusto.,Atenção Urgente
111,2025-05-31 13:52:59,-19.130397,-52.692271,App Usuário,Deslizamento,Baixa,117,Leve,Fácil,Laudantium illo ipsam vero nisi esse cum.,Monitorar
112,2025-05-18 05:24:19,-10.384911,-56.3168,Drone,Deslizamento,Crítica,21,Leve,Fácil,Possimus doloremque sit quibusdam et sed minus provident.,Suporte Necessário
113,2025-05-05 10:27:44,-20.024168,-53.644219,App Usuário,Estrutura Danificada,Baixa,71,Severo,Bloqueado,Dolorem quos repellendus laboriosam vel repellat atque veritatis ut quia.,Atenção Urgente
114,2025-05-15 01:46:21,-4.646627,-38.696661,App Usuário,Deslizamento,Média,110,Moderado,Difícil,Beatae excepturi earum corporis itaque ad aliquam.,Atenção Urgente
115,2025-05-31 02:12:20,-6.88584,-41.115447,Drone,Estrutura Danificada,Alta,178,Leve,Difícil,Quia corporis consequatur a libero minus architecto possimus eum.,Atenção Urgente
116,2025-05-05 03:23:20,-5.334119,-63.834336,App Usuário,Alagamento,Alta,43,Moderado,Bloqueado,Nisi asperiores totam nihil adipisci ducimus itaque inventore fugit sit.,Atenção Urgente
117,2025-05-30 21:35:25,-10.19057,-58.397848,App Usuário,Deslizamento,Alta,25,Nenhum,Fácil,Nisi accusantium autem quidem cupiditate praesentium ipsam eaque consequatur ea.,Monitorar
118,2025-05-22 18:57:51,-25.857424,-48.593229,Drone,Incêndio,Alta,101,Leve,Difícil,Deleniti quam voluptatibus ipsam fuga explicabo atque ex est.,Atenção Urgente
119,2025-05-29 08:04:53,-16.954415,-54.816525,Equipe de Campo,Pessoas Isoladas,Crítica,129,Nenhum,Difícil,Facere itaque accusantium labore at aliquam est quam iste ipsam mollitia.,Atenção Urgente
120,2025-05-19 18:14:57,-22.127039,-41.488489,App Usuário,Estrutura Danificada,Alta,69,Moderado,Bloqueado,Cupiditate qui quasi nulla consequuntur expedita atque dolorem.,Atenção Urgente
121,2025-05-21 18:12:19,-11.629111,-45.241622,Drone,Incêndio,Crítica,141,Nenhum,Bloqueado,Eum dolor facere ex eaque eum at tempora quas eveniet occaecati fuga sapiente maiores nam beatae.,Risco Imediato
122,2025-05-27 23:54:37,-14.834785,-45.603027,Equipe de Campo,Incêndio,Média,45,Nenhum,Bloqueado,Corporis excepturi veritatis iusto error consequuntur cupiditate doloribus animi optio ab.,Suporte Necessário
123,2025-05-22 20:16:40,-0.777209,-52.680931,Equipe de Campo,Deslizamento,Média,54,Leve,Difícil,At architecto perferendis minus minima dolor ipsa accusamus esse dolorem.,Suporte Necessário
124,2025-05-29 07:42:55,-4.858245,-52.079704,Equipe de Campo,Alagamento,Média,35,Leve,Bloqueado,Dolores esse animi incidunt enim placeat aliquam accusamus tempora aspernatur quasi eum nisi iusto.,Suporte Necessário
125,2025-05-26 16:48:17,-4.367301,-45.181116,Drone,Deslizamento,Alta,142,Moderado,Bloqueado,Veniam possimus inventore inventore aliquid.,Risco Imediato
126,2025-05-03 20:23:11,-6.963071,-50.305955,App Usuário,Incêndio,Crítica,15,Leve,Difícil,Ea molestias veniam in nemo labore.,Suporte Necessário
127,2025-05-23 17:54:51,-29.76611,-52.163975,Drone,Alagamento,Crítica,168,Severo,Difícil,Vitae non fugiat nostrum sed cupiditate quisquam ipsum expedita atque quas similique minima.,Risco Imediato
128,2025-05-06 06:25:50,-18.800146,-53.245604,Drone,Pessoas Isoladas,Crítica,142,Nenhum,Difícil,Voluptas dolorum vel consequuntur veniam sint exercitationem laboriosam provident.,Atenção Urgente
129,2025-05-16 04:09:27,-9.197028,-70.34426,Equipe de Campo,Deslizamento,Alta,164,Nenhum,Difícil,Amet neque iste illum ratione omnis sequi officia rem sunt blanditiis.,Atenção Urgente
130,2025-05-29 11:35:10,-5.923582,-38.780177,Equipe de Campo,Deslizamento,Alta,80,Nenhum,Difícil,Eius unde id fugit velit tempora debitis occaecati adipisci explicabo.,Suporte Necessário
131,2025-05-21 01:03:47,-20.929581,-44.678327,Drone,Deslizamento,Média,155,Leve,Fácil,Reiciendis consequuntur dolor deleniti voluptatum sequi maiores nulla sunt.,Suporte Necessário
132,2025-05-20 13:54:07,-5.92835,-37.610088,Drone,Pessoas Isoladas,Baixa,31,Leve,Bloqueado,Velit dolorem rerum sed veniam architecto laborum inventore recusandae velit id omnis sint expedita.,Monitorar
133,2025-05-16 15:59:09,-1.55307,-63.377777,Equipe de Campo,Incêndio,Crítica,31,Nenhum,Fácil,Quasi voluptatem expedita ullam a laborum quaerat ipsa unde explicabo laborum qui debitis iure.,Suporte Necessário
134,2025-05-27 10:09:09,0.381092,-69.677004,Drone,Estrutura Danificada,Média,152,Severo,Fácil,Ad molestias minima dolorum sit quod repellat porro aspernatur.,Atenção Urgente
135,2025-05-15 20:50:30,-6.075101,-50.570045,Drone,Alagamento,Alta,105,Leve,Bloqueado,Quam beatae maiores optio perferendis a quas vel.,Atenção Urgente
136,2025-05-30 21:44:24,0.883922,-56.22974,App Usuário,Pessoas Isoladas,Alta,145,Moderado,Fácil,Perspiciatis laboriosam fuga officia.,Atenção Urgente
137,2025-05-22 17:51:53,0.49508,-58.162852,Drone,Alagamento,Crítica,150,Nenhum,Bloqueado,Dolorum necessitatibus sunt harum minus nemo temporibus nostrum repellendus incidunt corrupti.,Risco Imediato
138,2025-05-29 18:11:47,0.700894,-63.870746,App Usuário,Alagamento,Alta,162,Severo,Fácil,Culpa quasi eum reprehenderit blanditiis iste labore dignissimos delectus.,Atenção Urgente
139,2025-05-24 09:38:42,-1.765749,-46.332398,App Usuário,Incêndio,Alta,25,Leve,Fácil,Voluptatem tempore velit enim suscipit molestias facilis sit.,Monitorar
140,2025-05-22 00:24:35,-3.228314,-67.78077,Equipe de Campo,Alagamento,Média,25,Severo,Difícil,Eaque deserunt vitae ratione aut veniam vitae.,Suporte Necessário
141,2025-05-24 06:10:08,-18.749156,-46.955434,Drone,Estrutura Danificada,Média,116,Severo,Difícil,Maiores sed consectetur animi quaerat natus soluta voluptatem.,Atenção Urgente
142,2025-05-19 17:21:18,-11.504655,-47.410374,App Usuário,Alagamento,Crítica,88,Leve,Fácil,Hic dignissimos quae quasi laudantium maiores ipsum ducimus expedita.,Suporte Necessário
143,2025-05-30 22:47:31,-13.170946,-45.157415,Drone,Estrutura Danificada,Crítica,150,Severo,Fácil,Perspiciatis voluptatum voluptate libero blanditiis dolor ducimus expedita.,Risco Imediato
144,2025-05-13 06:07:47,-9.559035,-69.712126,Equipe de Campo,Deslizamento,Média,149,Severo,Difícil,Pariatur ratione fugit labore quis amet dolorem libero harum quidem nisi in dolorum numquam eveniet.,Atenção Urgente
145,2025-05-25 17:53:06,-22.996633,-47.986449,Equipe de Campo,Alagamento,Alta,84,Moderado,Bloqueado,Eligendi ea sunt deserunt a alias harum sint eos.,Atenção Urgente
